path,width,height,orientation,brightness,saturation_proxy,clip_low_pct,clip_high_pct,r_mean,g_mean,b_mean,size_bytes,fast_sha1
/Volumes/未命名/大模型/原图1/DSC05364_副本.JPG,2000,1333,landscape,48.06,1.24,5.262,0.0,49.8,47.37,47.01,597974,c06f438bd576451a3a70f3b1b579ebe97120a165
/Volumes/未命名/大模型/原图1/DAP00893.JPG,2000,1333,landscape,58.72,5.46,0.94,0.349,64.88,59.66,51.61,879047,45696cc89d3dc5ee0fad2d16b982cfc72acaeeaf
/Volumes/未命名/大模型/原图1/058A1535.JPG,4000,2667,landscape,153.1,9.92,1.073,0.588,163.36,156.24,139.69,3236707,ab6793c25b97b4a10b0d59f2c03b1c6bf614f769
/Volumes/未命名/大模型/原图1/DAP02945.JPG,2000,1333,landscape,104.96,33.65,0.044,0.044,152.54,81.35,80.99,1419377,2a682f58a05d5419e96ac6ae64812fa6a3c4cd34
/Volumes/未命名/大模型/原图1/DSC01334.JPG,1125,2000,portrait,148.01,12.01,0.125,0.016,152.58,131.56,159.89,2551649,13d7418928f2a760b7c730ed8c0a4e119ba4fa93
/Volumes/未命名/大模型/原图1/AAA02327.JPG,2666,4000,portrait,103.17,9.63,0.0,0.0,100.78,92.75,115.98,2879074,12e9dd22d0c713185fe6391e6afba787fdb51cf6
/Volumes/未命名/大模型/原图1/DAP00028 2.JPG,2000,1333,landscape,154.04,1.52,2.845,0.071,155.02,151.89,155.2,806560,fed9495e2e0bdc70ae36707124dc2565a9838106
/Volumes/未命名/大模型/原图1/DAP09513.JPG,2000,1333,landscape,112.01,13.42,0.002,0.393,122.63,93.07,120.32,1170239,59f9479a14bd3758da73111a620d9bae1c7dcee4
/Volumes/未命名/大模型/原图1/DAP00524 3.JPG,1333,2000,portrait,56.28,30.24,0.85,0.0,98.75,39.36,30.72,855413,bd73f84c80014ff5fa10d127be6fc2e5397c729e
/Volumes/未命名/大模型/原图1/DAP02665 2.JPG,2000,1333,landscape,64.11,21.4,0.462,1.11,90.32,64.1,37.91,973549,d4240835cc3323732e602276c763de2d32e3486c
/Volumes/未命名/大模型/原图1/DAP03514.JPG,1333,2000,portrait,65.68,13.86,0.179,0.322,76.67,74.24,46.12,766900,cc44b852d3517f8e080eccd4b046cfac028d4427
/Volumes/未命名/大模型/原图1/DAP02009(1).JPG,2000,1333,landscape,97.86,17.85,1.68,0.967,74.51,101.24,117.84,843453,ed9a01d0929a459d775a8d8a522c3286aff99607
/Volumes/未命名/大模型/原图1/DAP09860 3.JPG,2000,1333,landscape,157.45,6.1,7.004,0.078,148.82,162.09,161.42,728655,a9a66b12b6b699442e112f3a33d172b67cfa44c7
/Volumes/未命名/大模型/原图1/DAP04476 2.JPG,1333,2000,portrait,75.28,10.85,1.448,1.519,88.42,75.55,61.85,822373,faa1ead24b1921ff99e85ef3cdf83d180dfbe158
/Volumes/未命名/大模型/原图1/AAA04727.JPG,2666,4000,portrait,116.41,9.77,0.067,0.0,113.8,105.97,129.46,3146066,9e55c91fe06a5a02879f8d472f74c73f23566187
/Volumes/未命名/大模型/原图1/DSC04674.JPG,1333,2000,portrait,27.73,1.07,12.339,0.345,26.88,27.06,29.24,535697,a209e1e3de13ef0f3e0c3c98c4ff9c940de3bc18
/Volumes/未命名/大模型/原图1/DSC05531(1).JPG,2000,1333,landscape,122.83,0.66,0.253,0.007,123.76,122.31,122.42,1185992,9295ba16e8139cd8270c69b624089b5fe36fa78f
/Volumes/未命名/大模型/原图1/DAP07673.JPG,2000,1333,landscape,109.1,75.13,0.007,0.131,214.55,45.17,67.58,1412194,3b65afac17610238f0d419f8ec5b6d6b54eb5705
